sample,window,outcome,coef,se,pval,nobs,treated,clusters,countries,error,ci_low,ci_high
Pooled,DMSP 1992-2013,ln_ntl,0.012785021407883072,0.0058793294538940655,0.029662512451373857,951915,2522,2723,235,,0.0012615356782507033,0.02430850713751544
Africa,DMSP 1992-2013,ln_ntl,0.04278580277262241,0.016334423747456084,0.008810688259664357,109126,705,191,45,,0.010770332227608481,0.07480127331763634
Sub-Saharan Africa,DMSP 1992-2013,ln_ntl,0.04424298366560859,0.01742157667779655,0.011102051835589544,63378,631,322,48,,0.010096693377127354,0.07838927395408982
Non-SSA,DMSP 1992-2013,ln_ntl,0.005298926760591663,0.005905845503789293,0.3695941984229245,888537,1891,2401,187,,-0.006276530426835351,0.016874383948018677
Pooled,DMSP 2005-2013,ln_ntl,0.0017228827818634293,0.005849130934794641,0.7683350593703147,398636,1068,1186,235,,-0.009741413850334068,0.013187179414060925
Africa,DMSP 2005-2013,ln_ntl,-0.005249262480420883,0.014315744711370705,0.7138614435934287,46939,306,111,45,,-0.03330812211470747,0.0228095971538657
Non-Africa,DMSP 2005-2013,ln_ntl,0.0035646755449170067,0.006347428101587161,0.5743932896488362,351697,762,1075,190,,-0.008876283534193828,0.01600563462402784
Asia,DMSP 2005-2013,ln_ntl,0.005250514317294753,0.009968967803818972,0.5984132274307554,90905,283,113,38,,-0.01428866257819043,0.02478969121277994
Non-Asia,DMSP 2005-2013,ln_ntl,0.0006046101571266908,0.007022892654715034,0.9313938807115223,307731,785,1073,197,,-0.013160259446114776,0.014369479760368157
Sub-Saharan Africa,DMSP 2005-2013,ln_ntl,-0.006328405769140922,0.01641861376566273,0.6999141717646586,28191,279,159,48,,-0.03850888874983987,0.02585207721155803
Non-SSA,DMSP 2005-2013,ln_ntl,0.0035328695813865,0.0061483904301823855,0.5655617596088218,370445,789,1027,187,,-0.008517975661770975,0.015583714824543977
Long-tenure leaders,DMSP 2005-2013,ln_ntl,-0.006174935152492717,0.008721385200216593,0.47893205176881026,300372,862,198,134,,-0.02326885014491724,0.010918979839931807
Short-tenure leaders,DMSP 2005-2013,ln_ntl,-0.0019368396670778594,0.009503287179820274,0.8385050800210696,53817,206,121,56,,-0.020563282539525597,0.016689603205369875
Long-tenure autocrats,DMSP 2005-2013,ln_ntl,0.008147122058910779,0.01725651784260805,0.6368451787754026,42717,261,48,40,,-0.025675652912600995,0.04196989703042255
Hybrid regimes,DMSP 2005-2013,ln_ntl,-0.0019522268206460483,0.011211648739044715,0.8617675684936712,173259,413,294,85,,-0.02392705834917369,0.020022604707881593
Democracies,DMSP 2005-2013,ln_ntl,0.0011429187879815723,0.008341686520210024,0.8910207742156757,169840,357,235,62,,-0.015206786791630074,0.017492624367593218
Drop top 10% luminosity,DMSP 2005-2013,ln_ntl,0.0010468361321457039,0.008245088482730362,0.8989683284530108,357745,613,1152,230,,-0.015113537294005806,0.01720720955829721
Drop top 5% luminosity,DMSP 2005-2013,ln_ntl,-0.0029493851296135474,0.007824699018930932,0.7062238418715479,377882,749,1152,230,,-0.018285795206718174,0.012387024947491079
Leader birth DN < 61,DMSP 2005-2013,ln_ntl,0.002010737600609816,0.006306149158334454,0.7498378263324819,373862,1034,1172,234,,-0.010349314749725714,0.014370789950945345
Low birth brightness,DMSP 2005-2013,ln_ntl,0.001634836875296344,0.01077975131767153,0.8794568455991867,142320,634,161,98,,-0.019493475707339857,0.022763149457932542
High birth brightness,DMSP 2005-2013,ln_ntl,-0.006368096110374168,0.013291037519623648,0.6318493115422643,118266,407,115,78,,-0.032418529648836514,0.01968233742808818
High baseline NO2 countries,DMSP 2005-2013,ln_ntl,-0.0011651637820245574,0.006926864886547669,0.8664186700984144,312633,603,549,114,,-0.014741818959657989,0.012411491395608872
Low baseline NO2 countries,DMSP 2005-2013,ln_ntl,0.007405085906522304,0.010676591718225506,0.4879468885115408,86003,465,637,121,,-0.013521033861199686,0.028331205674244294
High NO2 dispersion countries,DMSP 2005-2013,ln_ntl,-0.0039734241980350325,0.0063179767107150375,0.5294099611318495,342218,685,438,112,,-0.016356658551036504,0.008409810154966441
Low NO2 dispersion countries,DMSP 2005-2013,ln_ntl,0.01576849375754033,0.012592598975866062,0.2105018257255924,56418,383,748,123,,-0.008913000235157148,0.04044998775023781
Pooled,Harmonized 2005-2019,ln_ntl,0.0003647080144051324,0.008655065007788619,0.966388619471999,671399,1701,1923,236,,-0.016599219400860562,0.017328635429670825
Africa,Harmonized 2005-2019,ln_ntl,0.02617495171120001,0.01892707547565614,0.16668826005721393,83101,511,166,45,,-0.010922116221086027,0.06327201964348605
Non-Africa,Harmonized 2005-2019,ln_ntl,-0.0074290363523078,0.009657192358281955,0.44173042715513944,588298,1190,1757,191,,-0.02635713337454043,0.01149906066992483
Asia,Harmonized 2005-2019,ln_ntl,-0.013807137098341221,0.017831553778907102,0.43874921471135764,154704,447,169,38,,-0.04875698250499914,0.021142708308316695
Non-Asia,Harmonized 2005-2019,ln_ntl,0.005007501723251598,0.00981329871061937,0.6098575711743943,516695,1254,1754,198,,-0.014226563749562368,0.024241567196065565
Sub-Saharan Africa,Harmonized 2005-2019,ln_ntl,0.03146372430586327,0.021027223316793412,0.13457365521976206,52001,466,248,48,,-0.009749633395051818,0.07267708200677836
Non-SSA,Harmonized 2005-2019,ln_ntl,-0.0077034474358485885,0.009388529612599256,0.4119218264884361,619398,1235,1675,188,,-0.02610496547654313,0.010698070604845952
Long-tenure leaders,Harmonized 2005-2019,ln_ntl,0.002269118400788507,0.012512729580806152,0.8560970307099705,480009,1450,230,139,,-0.02225583157759155,0.026794068379168565
Short-tenure leaders,Harmonized 2005-2019,ln_ntl,-0.0009894689622981672,0.014094354397885263,0.9440322010318456,63082,251,138,59,,-0.028614403582153284,0.026635465657556947
Long-tenure autocrats,Harmonized 2005-2019,ln_ntl,-0.010053382397234556,0.023037786787829702,0.6625574730563559,86337,446,56,46,,-0.05520744450138077,0.03510067970691166
Hybrid regimes,Harmonized 2005-2019,ln_ntl,0.0011492621405841809,0.014375282861080982,0.9362793960004734,278939,658,483,94,,-0.027026292267134544,0.029324816548302907
