sample,window,outcome,coef,se,pval,nobs,treated,clusters,countries,error,outcome_label,first_stage_window,first_stage_coef,first_stage_pval,credible_rule
Sub-Saharan Africa,2005-2019 pollution window,ln_ntl,0.026746676999897055,0.021896013439548865,0.22189187809630928,45083,400,231,47,,Nightlights (NO2-matched),Harmonized 2005-2019,0.03146372430586327,0.13457365521976206,diagnostic_top_positive_not_statistically_credible
Sub-Saharan Africa,2005-2019 pollution window,ln_no2,-0.005526953789428933,0.01687905642405874,0.7433334336348012,45083,400,231,47,,NO2,Harmonized 2005-2019,0.03146372430586327,0.13457365521976206,diagnostic_top_positive_not_statistically_credible
Sub-Saharan Africa,2005-2019 pollution window,no2_pollution_intensity,-0.032273630789325866,0.027315589507894904,0.23740732504554574,45083,400,231,47,,NO2 pollution intensity,Harmonized 2005-2019,0.03146372430586327,0.13457365521976206,diagnostic_top_positive_not_statistically_credible
Sub-Saharan Africa,2005-2019 pollution window,ln_pm25,-0.002125513951449156,0.00466421963040379,0.6486033434378264,52001,466,248,48,,PM2.5,Harmonized 2005-2019,0.03146372430586327,0.13457365521976206,diagnostic_top_positive_not_statistically_credible
Sub-Saharan Africa,2005-2019 pollution window,pm25_pollution_intensity,-0.033589238257312436,0.022025689587677057,0.12726512149501445,52001,466,248,48,,PM2.5 pollution intensity,Harmonized 2005-2019,0.03146372430586327,0.13457365521976206,diagnostic_top_positive_not_statistically_credible
Africa,2005-2019 pollution window,ln_ntl,0.020205724882121197,0.019403851494919713,0.29772815956535825,75975,444,166,45,,Nightlights (NO2-matched),Harmonized 2005-2019,0.02617495171120001,0.16668826005721393,diagnostic_top_positive_not_statistically_credible
Africa,2005-2019 pollution window,ln_no2,-0.006493989907800117,0.016585137753504384,0.6953884150871121,75975,444,166,45,,NO2,Harmonized 2005-2019,0.02617495171120001,0.16668826005721393,diagnostic_top_positive_not_statistically_credible
Africa,2005-2019 pollution window,no2_pollution_intensity,-0.02669971478992146,0.025480447248296925,0.29471087701395593,75975,444,166,45,,NO2 pollution intensity,Harmonized 2005-2019,0.02617495171120001,0.16668826005721393,diagnostic_top_positive_not_statistically_credible
Africa,2005-2019 pollution window,ln_pm25,-0.00048702180465783626,0.004177378957132946,0.9071888382260496,83047,511,166,45,,PM2.5,Harmonized 2005-2019,0.02617495171120001,0.16668826005721393,diagnostic_top_positive_not_statistically_credible
Africa,2005-2019 pollution window,pm25_pollution_intensity,-0.026661973515857907,0.019811381421423628,0.17837402496768018,83047,511,166,45,,PM2.5 pollution intensity,Harmonized 2005-2019,0.02617495171120001,0.16668826005721393,diagnostic_top_positive_not_statistically_credible
Low NO2 dispersion countries,2005-2019 pollution window,ln_ntl,0.020569563435087347,0.02209665393891686,0.3519134563362176,78624,502,1055,113,,Nightlights (NO2-matched),Harmonized 2005-2019,0.021866082609472745,0.2317698933162522,diagnostic_top_positive_not_statistically_credible
Low NO2 dispersion countries,2005-2019 pollution window,ln_no2,0.03612307687761086,0.02293700987921764,0.11528826758750021,78624,502,1055,113,,NO2,Harmonized 2005-2019,0.021866082609472745,0.2317698933162522,diagnostic_top_positive_not_statistically_credible
Low NO2 dispersion countries,2005-2019 pollution window,no2_pollution_intensity,0.015553513442523408,0.03828072480433282,0.6845223707387018,78624,502,1055,113,,NO2 pollution intensity,Harmonized 2005-2019,0.021866082609472745,0.2317698933162522,diagnostic_top_positive_not_statistically_credible
Low NO2 dispersion countries,2005-2019 pollution window,ln_pm25,0.0016110338790027562,0.003804908780671848,0.6719976905854845,95392,621,1213,123,,PM2.5,Harmonized 2005-2019,0.021866082609472745,0.2317698933162522,diagnostic_top_positive_not_statistically_credible
Low NO2 dispersion countries,2005-2019 pollution window,pm25_pollution_intensity,-0.020257406816759332,0.018770910497731514,0.28050538093182364,95392,621,1213,123,,PM2.5 pollution intensity,Harmonized 2005-2019,0.021866082609472745,0.2317698933162522,diagnostic_top_positive_not_statistically_credible
