event_label,sort_order,treated_mean,control_mean,treated_se,control_se,n_treated,n_control,outcome
pre_-4,-4,-0.020153281948604867,0.00013102166699337757,0.02534354877309313,0.002244258891573246,163,42115,ln_ntl
pre_-3,-3,0.009945266051350453,-0.00011296581204801068,0.026581722168739188,0.0025295570686077354,163,41859,ln_ntl
pre_-2,-2,-0.008610019361621042,0.0001165176944701904,0.026839647233582967,0.0025882183161896133,160,40828,ln_ntl
pre_-1,-1,0.0,0.0,0.030571166399546944,0.0025121343579812233,163,42749,ln_ntl
ws_0,0,0.05982593321536768,-6.9905833896729e-05,0.021825219626121984,0.001902530343521726,279,73096,ln_ntl
ws_1,1,0.03731618053697451,-7.930040230436943e-05,0.025285387219149243,0.0023446208536082687,213,53598,ln_ntl
ws_2,2,0.07876266171149676,4.3017208586413995e-05,0.027914423680079303,0.0028099642956204607,192,50991,ln_ntl
ws_3,3,-0.05283860964435775,0.0005813524533850579,0.048742255466716546,0.002977122677666184,165,44104,ln_ntl
ws_4,4,-0.15420006864447883,0.0009184998451016438,0.05957751405689727,0.0036686027441642645,141,38904,ln_ntl
ws_5,5,-0.11228503491435204,0.0007702824615074979,0.07685500492702294,0.003818355779565566,96,29731,ln_ntl
ws_6p,6,-0.08694418254049542,0.0007113480927751013,0.052153351253963955,0.003660894427462054,224,38571,ln_ntl
ps_1,7,0.09183105913090633,-0.00041067333657596476,0.05381218028162682,0.004845113472693675,105,25151,ln_ntl
ps_2,8,-0.06752113131842521,0.0002513968903641642,0.0734570467577536,0.005286439931406777,107,29286,ln_ntl
pre_-4,-4,0.007675326672072248,3.9177090335904875e-05,0.03182837577417751,0.00260849422573022,163,42115,no2_intensity
pre_-3,-3,0.02518926891763171,7.304578893074207e-05,0.032328048559431104,0.0027664814727885894,163,41859,no2_intensity
pre_-2,-2,0.026181519273518583,-9.051973306855134e-05,0.035352680033586034,0.002938537406737688,160,40828,no2_intensity
pre_-1,-1,0.0,0.0,0.03662289403706987,0.002834893814535635,163,42749,no2_intensity
ws_0,0,-0.046777835045904,9.936553185772531e-05,0.02696707921444099,0.0021533008850741888,279,73096,no2_intensity
ws_1,1,0.011721583742897671,-2.0844004704677625e-05,0.03286419725939898,0.0026827264340813055,213,53598,no2_intensity
ws_2,2,-0.045924727185629156,-0.0001260492582615283,0.03440357910279774,0.003078255832924641,192,50991,no2_intensity
ws_3,3,0.08604628682345618,-0.0005836856929163293,0.05686648124375725,0.003362480082715521,165,44104,no2_intensity
ws_4,4,0.13497072309147715,-0.0007637359444209545,0.06382343363725126,0.00396178016646202,141,38904,no2_intensity
ws_5,5,0.10647885597909656,-0.0007394244205990211,0.07766744074321602,0.0042963456551826235,96,29731,no2_intensity
ws_6p,6,0.05183300673918631,-0.0003994754227271878,0.056237590990132216,0.004104726003641808,224,38571,no2_intensity
ps_1,7,-0.1562643453854601,0.0008467443675421526,0.06927862074292364,0.0051364822713476895,105,25151,no2_intensity
ps_2,8,-0.025622758548373016,0.0002582034093878249,0.06781409189612213,0.005266783403656081,107,29286,no2_intensity
pre_-4,-4,0.016590873290036307,-0.00014830772621913504,0.02543592573889559,0.002275763724650454,163,42115,pm25_intensity
pre_-3,-3,-0.012686489209884882,0.00011971486876816986,0.027360055208805155,0.0025561317589707835,163,41859,pm25_intensity
pre_-2,-2,0.01472120898830006,-0.000151732515543652,0.027130154163055926,0.0026010462986267866,160,40828,pm25_intensity
pre_-1,-1,0.0,0.0,0.030997124925792544,0.0025444384113556995,163,42749,pm25_intensity
ws_0,0,-0.0574876746575652,5.748212439366863e-05,0.02191510305868065,0.0019140597970818461,279,73096,pm25_intensity
ws_1,1,-0.035413864963345656,5.838292562132725e-05,0.025771210242445667,0.0023604526590047157,213,53598,pm25_intensity
ws_2,2,-0.07530666727489435,-6.247873902575263e-05,0.02816827835922221,0.002824446373074203,192,50991,pm25_intensity
ws_3,3,0.053629810093611535,-0.0005909339164131795,0.04874237513243162,0.0029974516513090344,165,44104,pm25_intensity
ws_4,4,0.1606350177994922,-0.000945344046970757,0.059261296227232085,0.0036873190836430926,141,38904,pm25_intensity
ws_5,5,0.11161960416659275,-0.0007824748228877866,0.07640381981475843,0.0038285166926179818,96,29731,pm25_intensity
ws_6p,6,0.09442445620923776,-0.000765377552619399,0.05259374370330212,0.00367682032119835,224,38571,pm25_intensity
ps_1,7,-0.09164579976337678,0.0003799159091980145,0.0539621298490628,0.004854408573225487,105,25151,pm25_intensity
ps_2,8,0.07185987512822314,-0.0002779552506912397,0.0738831426453732,0.005330001372616421,107,29286,pm25_intensity
