event_label,coef,se,ci_lo,ci_hi,sort_order,nobs,outcome
pre_-4,0.08371325808520554,0.03230853726526097,0.020388525045294037,0.14703799112511703,-4,668420,ln_ntl
pre_-3,0.11461851930149673,0.032948472920247905,0.050039512377810846,0.17919752622518262,-3,668420,ln_ntl
pre_-2,0.09623024841096375,0.03310364232608046,0.03134710945184606,0.16111338737008146,-2,668420,ln_ntl
pre_-1,0.0,0.0,0.0,0.0,-1,668420,ln_ntl
ws_0,0.16292732094758283,0.029930276505239863,0.10426397899731271,0.22159066289785295,0,668420,ln_ntl
ws_1,0.1435245142059649,0.034704635122628266,0.07550342936561351,0.2115455990463163,1,668420,ln_ntl
ws_2,0.18537148579636487,0.0376942859329448,0.11149068536779307,0.2592522862249367,2,668420,ln_ntl
ws_3,0.049823141770844404,0.059679465863465765,-0.0671486113215485,0.1667948948632373,3,668420,ln_ntl
ws_4,-0.05962730208261042,0.07025733008569787,-0.19733166905057825,0.07807706488535743,4,668420,ln_ntl
ws_5,-0.01918104799180352,0.08889548971794743,-0.1934162078389805,0.15505411185537343,5,668420,ln_ntl
ws_6p,-0.0016382931675506026,0.08922881793411895,-0.17652677631842373,0.17325018998332253,6,668420,ln_ntl
ps_1,0.20275895819537126,0.06159300444546319,0.08203666948226342,0.3234812469084791,7,668420,ln_ntl
ps_2,0.03766067716795653,0.08196359082127383,-0.12298796084174017,0.1983093151776532,8,668420,ln_ntl
pre_-4,-0.07826225752167192,0.03913176540355424,-0.15496051771263822,-0.0015639973307056132,-4,668420,no2_intensity
pre_-3,-0.06058172528110038,0.03905763664331978,-0.13713469310200715,0.01597124253980639,-3,668420,no2_intensity
pre_-2,-0.059994057339105386,0.04135872034324518,-0.14105714921186593,0.021069034533655162,-2,668420,no2_intensity
pre_-1,0.0,0.0,0.0,0.0,-1,668420,no2_intensity
ws_0,-0.12993026580738837,0.03480058088111541,-0.19813940433437455,-0.061721127280402174,0,668420,no2_intensity
ws_1,-0.0702579765664473,0.041302371723959765,-0.15121062514540845,0.010694672012513826,1,668420,no2_intensity
ws_2,-0.12752246778035167,0.044775325252779725,-0.21528210527579994,-0.039762830284903405,2,668420,no2_intensity
ws_3,0.009375173161269434,0.06734224738144688,-0.12261563170636647,0.14136597802890533,3,668420,no2_intensity
ws_4,0.06415244150947244,0.07670250296899946,-0.08618446430976648,0.21448934732871136,4,668420,no2_intensity
ws_5,0.036482506897215376,0.09185453541144191,-0.14355238250921076,0.21651739630364153,5,668420,no2_intensity
ws_6p,-0.015468350670311534,0.09842740585229873,-0.20838606614081706,0.17744936480019396,6,668420,no2_intensity
ps_1,-0.2577977778304009,0.07816988064929434,-0.41101074390301784,-0.10458481175778403,7,668420,no2_intensity
ps_2,-0.12224774127604708,0.07770359356135233,-0.2745467846562976,0.030051302104203467,8,668420,no2_intensity
pre_-4,-0.09058916144120874,0.03240656534627378,-0.15410602951990535,-0.02707229336251213,-4,668420,pm25_intensity
pre_-3,-0.12064248918432256,0.033712118734473204,-0.18671824190389003,-0.054566736464755086,-3,668420,pm25_intensity
pre_-2,-0.09311220329704603,0.03345266757917979,-0.15867943175223842,-0.027544974841853642,-2,668420,pm25_intensity
pre_-1,0.0,0.0,0.0,0.0,-1,668420,pm25_intensity
ws_0,-0.1632913941819689,0.030112999366450618,-0.2223128729402121,-0.10426991542372568,0,668420,pm25_intensity
ws_1,-0.14423076644669816,0.03523537644560303,-0.2132921042800801,-0.07516942861331621,1,668420,pm25_intensity
ws_2,-0.18433795863651167,0.038073189330603226,-0.258961409724494,-0.10971450754852935,2,668420,pm25_intensity
ws_3,-0.05148118183518029,0.059803731777373845,-0.16869649611883303,0.06573413244847244,3,668420,pm25_intensity
ws_4,0.064006740378653,0.06998859202302321,-0.0731708999864725,0.2011843807437785,4,668420,pm25_intensity
ws_5,0.016469884039328656,0.08853255276338186,-0.15705391937689978,0.18999368745555711,5,668420,pm25_intensity
ws_6p,0.008600387682509139,0.09012213979743854,-0.1680390063204704,0.18523978168548869,6,668420,pm25_intensity
ps_1,-0.2059829673618817,0.06181367107915466,-0.3271377626770249,-0.08482817204673856,7,668420,pm25_intensity
ps_2,-0.036599180214025036,0.08236969473820935,-0.19804378190091534,0.12484542147286529,8,668420,pm25_intensity
