event_label,sort_order,coef,se,ci_lo,ci_hi,nobs,outcome
pre_-3,0,0.05419434908577182,0.038203602431178804,-0.020684711679338635,0.12907340985088228,622868,ln_ntl
pre_-2,1,0.02637476739057777,0.03606918736933979,-0.044320839853328214,0.09707037463448376,622868,ln_ntl
pre_-1,2,0.0,0.0,0.0,0.0,622868,ln_ntl
in_0,3,0.049825654031893506,0.028123112034286055,-0.005295645555307163,0.10494695361909417,622868,ln_ntl
in_1,4,0.034326442212399874,0.03075081319294792,-0.02594515164577805,0.09459803607057779,622868,ln_ntl
in_2,5,0.0755638066579233,0.03494068971390491,0.007080054818669676,0.14404755849717693,622868,ln_ntl
in_3,6,0.09188652642776277,0.035978199471260644,0.021369255464091907,0.16240379739143362,622868,ln_ntl
in_4,7,0.0776749475259494,0.04056034513881404,-0.001823328946126121,0.1571732239980249,622868,ln_ntl
in_5,8,0.13929672093459325,0.043043123191288744,0.05493219947966731,0.22366124238951918,622868,ln_ntl
in_6p,9,0.15861668018305242,0.04353511225995299,0.07328786015354456,0.24394550021256028,622868,ln_ntl
post_1,10,0.11955559823176191,0.035703546663169425,0.04957664677194984,0.189534549691574,622868,ln_ntl
post_2,11,0.05712001473325036,0.0414027021049748,-0.02402928139250024,0.13826931085900096,622868,ln_ntl
post_3p,12,0.044902344305880644,0.040842327429752606,-0.03514861745643446,0.12495330606819574,622868,ln_ntl
pre_-3,0,-0.014592968604139686,0.04473107118455023,-0.10226586812585814,0.07307993091757878,585141,no2_intensity
pre_-2,1,-0.03174279182318239,0.04436593914648709,-0.1187000325502971,0.05521444890393232,585141,no2_intensity
pre_-1,2,0.0,0.0,0.0,0.0,585141,no2_intensity
in_0,3,-0.0626153872044912,0.03405585196056426,-0.12936485704719713,0.004134082638214742,585141,no2_intensity
in_1,4,-0.014007222375760922,0.03647519735674481,-0.08549860919498074,0.0574841644434589,585141,no2_intensity
in_2,5,-0.0838459259247299,0.041439449729471986,-0.165067247394495,-0.0026246044549648184,585141,no2_intensity
in_3,6,-0.1007923431869765,0.049485128377411314,-0.19778319480670267,-0.0038014915672503202,585141,no2_intensity
in_4,7,-0.11677515018594038,0.05354751288473471,-0.2217282754400204,-0.011822024931860353,585141,no2_intensity
in_5,8,-0.20067105577829836,0.05391255770395635,-0.3063396688780528,-0.09500244267854391,585141,no2_intensity
in_6p,9,-0.1977525683588542,0.048868387730063086,-0.29353460830977784,-0.10197052840793057,585141,no2_intensity
post_1,10,-0.21369921065669045,0.046430555715615246,-0.30470309985929633,-0.12269532145408457,585141,no2_intensity
post_2,11,-0.11364564685082305,0.046171464940527124,-0.20414171813425622,-0.02314957556738989,585141,no2_intensity
post_3p,12,-0.08357634830201344,0.04280542224778939,-0.16747497590768062,0.00032227930365376356,585141,no2_intensity
pre_-3,0,-0.0577985655888044,0.03857320236861455,-0.1334020422312889,0.017804911053680116,620805,pm25_intensity
pre_-2,1,-0.02439897818534394,0.03617147686163794,-0.0952950728341543,0.04649711646346642,620805,pm25_intensity
pre_-1,2,0.0,0.0,0.0,0.0,620805,pm25_intensity
in_0,3,-0.04574866852626032,0.028097527495415702,-0.10081982241727509,0.009322485364754454,620805,pm25_intensity
in_1,4,-0.02964956895221091,0.03086098696987567,-0.09013710341316722,0.030837965508745402,620805,pm25_intensity
in_2,5,-0.06944708451758204,0.03501712156201065,-0.1380806427791229,-0.0008135262560411693,620805,pm25_intensity
in_3,6,-0.08403783926194178,0.03611918155623832,-0.1548314351121689,-0.013244243411714665,620805,pm25_intensity
in_4,7,-0.06613498249730869,0.0401470086142632,-0.14482311938126458,0.012553154386647183,620805,pm25_intensity
in_5,8,-0.13261254790536056,0.0429289690863755,-0.21675332731465655,-0.04847176849606458,620805,pm25_intensity
in_6p,9,-0.15166872865775102,0.043550377876178645,-0.23702746929506116,-0.06630998802044089,620805,pm25_intensity
post_1,10,-0.117018660970336,0.03577492337995959,-0.1871375107950568,-0.0468998111456152,620805,pm25_intensity
post_2,11,-0.056576246549566535,0.0416029104264555,-0.13811795098541932,0.024965457886286242,620805,pm25_intensity
post_3p,12,-0.043204856164605523,0.040962435886110767,-0.12349123050138262,0.037081518172171576,620805,pm25_intensity
