event_label,obs,spells,sort_order,outcome
pre_-3,130,130,0,ln_ntl
pre_-2,142,142,1,ln_ntl
pre_-1,156,156,2,ln_ntl
in_0,306,306,3,ln_ntl
in_1,251,251,4,ln_ntl
in_2,238,238,5,ln_ntl
in_3,202,202,6,ln_ntl
in_4,166,166,7,ln_ntl
in_5,124,124,8,ln_ntl
in_6p,778,154,9,ln_ntl
post_1,264,264,10,ln_ntl
post_2,249,249,11,ln_ntl
post_3p,3909,439,12,ln_ntl
pre_-3,120,120,0,no2_intensity
pre_-2,129,129,1,no2_intensity
pre_-1,142,142,2,no2_intensity
in_0,279,279,3,no2_intensity
in_1,232,232,4,no2_intensity
in_2,220,220,5,no2_intensity
in_3,183,183,6,no2_intensity
in_4,149,149,7,no2_intensity
in_5,109,109,8,no2_intensity
in_6p,680,147,9,no2_intensity
post_1,240,240,10,no2_intensity
post_2,223,223,11,no2_intensity
post_3p,3621,429,12,no2_intensity
pre_-3,130,130,0,pm25_intensity
pre_-2,142,142,1,pm25_intensity
pre_-1,156,156,2,pm25_intensity
in_0,306,306,3,pm25_intensity
in_1,251,251,4,pm25_intensity
in_2,238,238,5,pm25_intensity
in_3,202,202,6,pm25_intensity
in_4,166,166,7,pm25_intensity
in_5,124,124,8,pm25_intensity
in_6p,778,154,9,pm25_intensity
post_1,264,264,10,pm25_intensity
post_2,249,249,11,pm25_intensity
post_3p,3909,439,12,pm25_intensity
