event_label,sort_order,coef,se,ci_lo,ci_hi,nobs,outcome
et_-2,-2,-0.03801464070742614,0.036396844982475716,-0.10935245687307854,0.033323175458226266,622868,ln_ntl
et_ref,-1,0.0,0.0,0.0,0.0,622868,ln_ntl
et_0,0,-0.036897501749955,0.0390896260525724,-0.1135131688129969,0.0397181653130869,622868,ln_ntl
et_1,1,-0.03261580204040805,0.037982689989305124,-0.10706187441944609,0.04183027033862999,622868,ln_ntl
et_2,2,0.010153888978877555,0.041310258612596226,-0.07081421790181106,0.09112199585956615,622868,ln_ntl
et_-2,-2,0.08926626479341573,0.046099531934897575,-0.0010888177989835102,0.17962134738581498,585141,no2_intensity
et_ref,-1,0.0,0.0,0.0,0.0,585141,no2_intensity
et_0,0,0.07825269928581373,0.04898658243153428,-0.017761002279993457,0.17426640085162093,585141,no2_intensity
et_1,1,0.08465992868169714,0.04591843882770456,-0.005340211420603785,0.17466006878399806,585141,no2_intensity
et_2,2,0.024572792298596866,0.04871647816666692,-0.07091150490807029,0.12005708950526402,585141,no2_intensity
et_-2,-2,0.04109750730632473,0.03688030525731722,-0.03118789099801702,0.11338290561066647,620805,pm25_intensity
et_ref,-1,0.0,0.0,0.0,0.0,620805,pm25_intensity
et_0,0,0.04385724030110829,0.03946025938137224,-0.0334848680863813,0.12119934868859789,620805,pm25_intensity
et_1,1,0.03971053557398503,0.03820753210298393,-0.035176227347863465,0.11459729849583353,620805,pm25_intensity
et_2,2,-0.003697662992868867,0.04186131354766341,-0.08574583754628914,0.07835051156055142,620805,pm25_intensity
