spec,join,coef,se,p,n,treated
DMSP 1992-2013 [Pooled],orig,0.012945478706591525,0.005900375091366405,0.02823498486215703,951915,2505
DMSP 1992-2013 [Pooled],sj,0.008944115616431603,0.005300970073475593,0.09155368438315903,951915,3268
DMSP 1992-2013 [SSA],orig,0.044242983665609366,0.017288274188999135,0.010495869650174017,63378,631
DMSP 1992-2013 [SSA],sj,0.03130199489762771,0.013628380969889501,0.021632320435839736,63378,795
DMSP 1992-2013 [Non-SSA],orig,0.00542433401868402,0.005949950426011653,0.3619477919539662,888537,1874
DMSP 1992-2013 [Non-SSA],sj,0.003302281033897047,0.005651116890915952,0.5589789594798433,888537,2473
DMSP 2005-2013 [Pooled],orig,0.0026691587164969616,0.005860959730955067,0.6488122471839295,398636,1064
DMSP 2005-2013 [Pooled],sj,0.004834550623626761,0.004892157152419401,0.32304328736879784,398636,1384
DMSP 2005-2013 [SSA],orig,-0.006328405769140934,0.01641861376566273,0.6999141717646582,28191,279
DMSP 2005-2013 [SSA],sj,0.003042618220043036,0.014158902329686012,0.8298542597023495,28191,352
DMSP 2005-2013 [Non-SSA],orig,0.004707526593399491,0.006158394078968315,0.44462460919512625,370445,785
DMSP 2005-2013 [Non-SSA],sj,0.0052443151519118315,0.005087690732470959,0.30264243072284014,370445,1032
Harm 2005-2019 [Pooled],orig,0.0011143642496396556,0.008685826033944181,0.8979140875797413,671399,1696
Harm 2005-2019 [Pooled],sj,0.010142928933473795,0.007215291696960025,0.15979753119059836,671399,2195
Harm 2005-2019 [SSA],orig,0.031463724305864145,0.021027223316793485,0.13457365521975273,52001,466
Harm 2005-2019 [SSA],sj,0.036281141989534034,0.01731870438980949,0.03618425041977691,52001,579
Harm 2005-2019 [Non-SSA],orig,-0.006807532246838569,0.009430546058849841,0.47038096313312683,619398,1230
Harm 2005-2019 [Non-SSA],sj,0.0030444499259964343,0.00784390113632723,0.6979202988803239,619398,1616
VIIRS21 2012-2024 [Pooled],orig,-0.028258321047803348,0.011569691883280657,0.014588519326751204,596808,1065
VIIRS21 2012-2024 [Pooled],sj,-0.029094940434718677,0.009643983860625132,0.002553853028196107,596808,1374
VIIRS21 2012-2024 [SSA],orig,0.02698473386910979,0.032185245382460696,0.4017998990601246,47394,316
VIIRS21 2012-2024 [SSA],sj,0.03335272145519147,0.02587969387015,0.19748842745675765,47394,384
VIIRS21 2012-2024 [Non-SSA],orig,-0.04679961595713935,0.010958384368117515,1.9492441235113844e-05,549414,749
VIIRS21 2012-2024 [Non-SSA],sj,-0.050255596788623486,0.009312855339509115,6.803386276565959e-08,549414,990
VIIRS21 2014-2024 [Pooled],orig,-0.03474392336062738,0.012220284242507966,0.004467406344346614,506174,819
VIIRS21 2014-2024 [Pooled],sj,-0.03448255060468352,0.01040573204366062,0.0009204334097818734,506174,1055
VIIRS21 2014-2016 [Pooled],orig,0.017504851921536977,0.011545038687146382,0.12946654341619057,135837,361
VIIRS21 2014-2016 [Pooled],sj,0.006175408250295939,0.01027112740254879,0.5476819575302847,135837,475
NO2 2005-2019 [Pooled],orig,0.02803559018156398,0.014897184724699319,0.059844789711391844,673137,1586
NO2 2005-2019 [Pooled],sj,0.025881711669119654,0.012897032185849339,0.04477182843749827,673137,2049
NO2 intensity 2005-2019 [Pooled],orig,0.03227115117483383,0.01787573581605362,0.07102752048264205,631362,1536
NO2 intensity 2005-2019 [Pooled],sj,0.0205735504794962,0.014981718176781284,0.16967712032037552,631362,1975
