spec,coef,se,pval,nobs,treated,clusters,countries
Harm 2005-2019 pooled,0.15846474523725748,0.024370474832577885,7.914380262263876e-11,714913,2272,1738,239
Harm 2005-2019 SSA,0.23190655505139238,0.06905995557380663,0.0007854451508593208,64618,613,199,48
Harm 2005-2019 Non-SSA,0.13768508745354194,0.02425727283609634,1.3791686903630307e-08,650295,1659,1539,191
Harm 2005-2019 Africa,0.20926657105584207,0.061473920783998784,0.0006639869340943072,97468,669,231,53
Harm 2005-2019 Low-NO2-disp,0.2176871223766858,0.051664984487676854,2.5174203957201158e-05,105569,862,941,112
Joint NL lag 0,0.15306184242415838,0.025514075699525834,1.985069220111768e-09,669535,2037,1595,230
Joint NL lag 1,0.11095379951533682,0.023793500298505958,3.113980382218884e-06,669535,1958,1595,230
NO2 lag 0,0.02572690270566891,0.012851991993710376,0.04530848061163817,669535,2037,1595,230
NO2 lag 1,-0.004595842047223729,0.012508103517149408,0.7132990448413223,669535,1958,1595,230
NO2 pollution intensity lag 0,-0.12733493971848997,0.02812328177993134,5.962864832120829e-06,669535,2037,1595,230
NO2 pollution intensity lag 1,-0.11554964156256042,0.02681434623104641,1.6383656151086612e-05,669535,1958,1595,230
PM2.5 intensity lag 0,-0.15489555657530255,0.024457333226614728,2.401301379961751e-10,712584,2272,1723,238
PM2.5 intensity lag 1,-0.11258005538309054,0.022337599153304865,4.6581157797653816e-07,712584,2176,1723,238
PM2.5 intensity lag 2,-0.04072797011541036,0.02272849919529567,0.0731439984618778,712584,2060,1723,238
