Window,Start,End,window_years,coef,se,pval,nobs,treated,clusters
1992-1999,1992,1999,8,-0.002097161497686157,0.006076775026813433,0.7300109746540815,336255,875,1080
1992-2000,1992,2000,9,-0.0057049720563875595,0.005823514456252379,0.3272617877518985,379754,991,1196
1992-2001,1992,2001,10,-0.003570936896274662,0.006031603554248953,0.5538253211761397,423194,1109,1310
1992-2002,1992,2002,11,-0.002810509674362074,0.006303236079539662,0.6556813202052532,465723,1219,1418
1992-2003,1992,2003,12,-0.003121197429057266,0.006217081804740462,0.6156423621581532,509104,1337,1529
1992-2004,1992,2004,13,-0.0011454441442588733,0.006272636961646989,0.8551042990374048,553279,1454,1647
1992-2005,1992,2005,14,0.0036753446299661137,0.006128553710291182,0.5487006445511782,597247,1569,1769
1992-2006,1992,2006,15,0.007146580030735023,0.006107971561684867,0.24198428020148777,640834,1686,1889
1992-2007,1992,2007,16,0.009709644100493275,0.006034502596456749,0.1076116520500223,685059,1804,2006
1992-2008,1992,2008,17,0.011060271983132107,0.005950456669758588,0.06306590372163164,729073,1926,2121
1992-2009,1992,2009,18,0.011618794117228408,0.005760802719486175,0.04370901019950218,772308,2042,2246
1992-2010,1992,2010,19,0.01279155015834758,0.005724976044261952,0.02546062781484686,817358,2161,2368
1992-2011,1992,2011,20,0.013053643199300516,0.005751914166810473,0.023241380177402186,862386,2281,2491
1992-2012,1992,2012,21,0.012701446317855782,0.00572782005044651,0.026588879225526805,907148,2401,2608
1992-2013,1992,2013,22,0.012785021407875205,0.005718629584712569,0.02537279026831862,951915,2522,2723
1992-2014,1992,2014,23,0.01156794089495386,0.005672290702398188,0.041412386211254884,996899,2643,2846
1992-2015,1992,2015,24,0.010265560049007427,0.0057983080639491084,0.07665377020007642,1041837,2764,2960
1992-2016,1992,2016,25,0.009087210991951223,0.005975164895250243,0.12830246338651002,1086689,2883,3056
1992-2017,1992,2017,26,0.00799896632852148,0.006106182097908089,0.19020316090677825,1132633,2987,3175
1992-2018,1992,2018,27,0.00782182837435974,0.006272117129409853,0.2123683674992416,1178658,3079,3308
1992-2019,1992,2019,28,0.009422342430473352,0.00643528166763138,0.14314767170338702,1224678,3155,3460
1993-2000,1993,2000,8,-0.005550285166484635,0.005806182470038616,0.3391092407847798,341299,881,1072
1993-2001,1993,2001,9,-0.0027887671211376695,0.006124343645246062,0.6488519117160456,384739,999,1186
1993-2002,1993,2002,10,-0.0018774449971501327,0.006416973206963308,0.7698471369348145,427268,1109,1294
1993-2003,1993,2003,11,-0.0018660865557185644,0.006211361159423607,0.763848284143258,470649,1227,1405
1993-2004,1993,2004,12,0.0006930316356525707,0.006184400195916387,0.9107748394035027,514824,1344,1523
1993-2005,1993,2005,13,0.006241815260676123,0.0059945552565843505,0.29776072763017203,558792,1459,1645
1993-2006,1993,2006,14,0.010191492403416252,0.005943177418034195,0.08637783534139351,602379,1576,1765
1993-2007,1993,2007,15,0.012893526923097908,0.005831063390120697,0.027023420178511903,646604,1694,1882
1993-2008,1993,2008,16,0.014217927644198936,0.005723361653184685,0.012984587925203784,690618,1816,1997
1993-2009,1993,2009,17,0.014769744722799408,0.005529282114254508,0.0075583598912001325,733853,1932,2122
1993-2010,1993,2010,18,0.015920697591527,0.005492650843374351,0.0037489808099307052,778903,2051,2244
