plad_id,leader,country,gid_0,gid_2,gid_2_sj,latitude,longitude,geo_precision
MAD_1978_1,Maumoon Abdul Gayoom,Maldives,.,.,IND.18.1_1,4.17521,73.50916,1
ETH_1991_1,Gebre Kidan,Ethiopia,.,.,,,,5
SOL_1993_1,Hilly,Solomon Islands,.,.,SLB.10.3_1,-7.94449,156.55228,1
COM_1995_2,el-Yachroutu,Comoros,.,.,,,,5
MAD_2008_1,Nasheed,Maldives,.,.,IND.18.1_1,4.17521,73.50916,1
GNB_2012_2,Mamadu Ture Kuruma,Guinea-Bissau,.,.,,,,5
LIB_2012_1,Mohammed Ali Salim,Libya,.,.,,,,5
MAD_2012_1,Waheed Hassan,Maldives,.,.,IND.18.1_1,4.17521,73.50916,1
MAD_2013_1,Abdulla Yameen Abdul Gayoom,Maldives,.,.,IND.18.1_1,4.17521,73.50916,1
AFG_1986_1,Najibullah,Afghanistan,AFG,AFG.26.4_1,AFG.26.4_1,33.60134,69.24159,1
AFG_1992_1,Mojadidi,Afghanistan,AFG,AFG.14.6_1,AFG.14.6_1,34.52813,69.17233,1
AFG_1992_2,Burhanuddin Rabbani,Afghanistan,AFG,.,AFG.1.5_1,36.73477,70.812,4
AFG_1996_1,Mullah Omar,Afghanistan,AFG,AFG.15.6_1,AFG.15.6_1,32.01075,65.50335,3
AFG_2001_1,Hamid Karzai,Afghanistan,AFG,AFG.15.5_1,AFG.15.5_1,31.57178,65.72946,1
AFG_2014_1,Ashraf Ghani Ahmadzai,Afghanistan,AFG,AFG.14.8_1,AFG.14.8_1,34.35397,69.40878,1
ANG_1979_1,Dos Santos,Angola,AGO,AGO.11.8_1,AGO.11.8_1,-8.77543,13.30098,1
ALB_1985_1,Alia,Albania,ALB,ALB.10.3_1,ALB.10.3_1,42.06828,19.51258,1
ALB_1992_1,Berisha,Albania,ALB,ALB.8.3_1,ALB.8.3_1,42.386944,20.175833,1
ALB_1997_1,Fatos Nano,Albania,ALB,ALB.11.2_1,ALB.11.2_1,41.3275,19.81889,1
ALB_1998_1,Majko,Albania,ALB,ALB.11.2_1,ALB.11.2_1,41.3275,19.81889,1
ALB_1999_1,Meta,Albania,ALB,ALB.1.3_1,ALB.1.3_1,40.50417,20.22722,1
ALB_2002_1,Majko,Albania,ALB,ALB.11.2_1,ALB.11.2_1,41.3275,19.81889,1
ALB_2002_2,Fatos Nano,Albania,ALB,ALB.11.2_1,ALB.11.2_1,41.3275,19.81889,1
ALB_2005_1,Berisha,Albania,ALB,ALB.8.3_1,ALB.8.3_1,42.386944,20.175833,1
ALB_2013_1,Rama,Albania,ALB,ALB.11.2_1,ALB.11.2_1,41.3275,19.81889,1
UAE_1971_1,An-Nahayan,United Arab Emirates,ARE,ARE.1.1_1,ARE.1.1_1,24.453884,54.377346,1
UAE_2004_1,Khalifa Al Nahayan,United Arab Emirates,ARE,ARE.1.2_1,ARE.1.2_1,24.19167,55.76056,1
ARG_1989_1,Menem,Argentina,ARG,ARG.12.3_1,ARG.12.3_1,-28.80663,-66.94367,1
ARG_1999_1,de la Rua,Argentina,ARG,ARG.6.2_1,ARG.6.2_1,-31.4135,-64.18105,1
ARG_2001_1,Ramon Puerta,Argentina,ARG,ARG.14.1_1,ARG.14.1_1,-27.91421,-55.75355,1
ARG_2001_2,Adolfo Rodriguez Saa,Argentina,ARG,ARG.19.8_1,ARG.19.8_1,-33.29501,-66.33563,1
ARG_2002_1,Eduardo Duhalde,Argentina,ARG,ARG.1.71_1,ARG.1.71_1,-34.75,-58.41667,1
ARG_2003_1,Nestor Kirchner,Argentina,ARG,ARG.20.3_1,ARG.20.3_1,-51.62261,-69.21813,1
ARG_2007_1,Fernandez de Kirchner,Argentina,ARG,ARG.1.63_1,ARG.1.63_1,-34.88497,-57.9667,2
ARG_2015_1,Mauricio Macri,Argentina,ARG,ARG.1.115_1,ARG.1.115_1,-37.32167,-59.13316,1
AUL_1983_1,Hawke,Australia,AUS,AUS.8.57_1,AUS.8.57_1,-36.30768,140.77167,1
AUL_1991_1,Keating,Australia,AUS,AUS.5.122_1,AUS.5.122_1,-33.86785,151.20732,1
AUL_1996_1,Howard,Australia,AUS,AUS.5.122_1,AUS.5.122_1,-33.86785,151.20732,1
AUL_2007_1,Rudd,Australia,AUS,AUS.7.62_1,AUS.7.62_1,-26.62613,152.95941,1
AUL_2013_1,Rudd,Australia,AUS,AUS.7.62_1,AUS.7.62_1,-26.62613,152.95941,1
AUL_2015_1,Malcolm Turnbull,Australia,AUS,AUS.5.122_1,AUS.5.122_1,-33.86785,151.20732,1
AUS_1986_1,Vranitzky,Austria,AUT,AUT.9.1_1,AUT.9.1_2,48.20849,16.37208,1
AUS_1997_1,Klima,Austria,AUT,AUT.3.14_1,AUT.3.14_2,48.08,16.28,1
AUS_2000_1,Schussel,Austria,AUT,AUT.9.1_1,AUT.9.1_2,48.20849,16.37208,1
AUS_2007_1,Gusenbauer,Austria,AUT,AUT.3.17_1,AUT.3.17_2,48.2,15.63333,1
AUS_2008_1,Faymann,Austria,AUT,AUT.9.1_1,AUT.9.1_2,48.20849,16.37208,1
AZE_1991_1,Mutalibov,Azerbaijan,AZE,AZE.1.2_1,AZE.1.2_1,40.38,49.89201,1
AZE_1992_1,Mamedov,Azerbaijan,AZE,AZE.4.3_1,AZE.4.3_1,40.53566,45.64596,1
AZE_1992_2,Mutalibov,Azerbaijan,AZE,AZE.1.2_1,AZE.1.2_1,40.37767,49.89201,1
AZE_1992_3,Gambarov,Azerbaijan,AZE,AZE.1.2_1,AZE.1.2_1,40.37767,49.89201,1
AZE_1992_4,Abulfaz Elchibey,Azerbaijan,AZE,AZE.7.3_1,AZE.7.3_1,39.20889,45.41222,1
AZE_1993_1,H. Aliyev,Azerbaijan,AZE,AZE.7.3_1,AZE.7.3_1,39.20889,45.41222,1
AZE_2003_1,Ilhma Aliyev,Azerbaijan,AZE,AZE.1.2_1,AZE.1.2_1,40.37767,49.89201,1
