Window,Start,End,window_years,coef,se,pval,nobs,treated,clusters
1992–1999,1992,1999,8,-0.0020971614976875463,0.006547245345793737,0.7487320300369911,336255,875,1080
1992–2000,1992,2000,9,-0.005704972056387353,0.006221018412421224,0.35911818990708166,379754,991,1196
1992–2001,1992,2001,10,-0.00357093689627549,0.006400353893630108,0.5768938566881001,423194,1109,1310
1992–2002,1992,2002,11,-0.0028105096743623083,0.006653167732702596,0.6727100823909318,465723,1219,1418
1992–2003,1992,2003,12,-0.003121197429057502,0.006532873662519056,0.6328156265059282,509104,1337,1529
1992–2004,1992,2004,13,-0.0011454441442587666,0.0065663504070780955,0.8615185564397536,553279,1454,1647
1992–2005,1992,2005,14,0.0036753446299680266,0.006394856455546442,0.5654711065632241,597247,1569,1769
1992–2006,1992,2006,15,0.007146580030729832,0.006355862360657512,0.26084059980306473,640834,1686,1889
1992–2007,1992,2007,16,0.009709644100492907,0.006264211448439176,0.12113755584865094,685059,1804,2006
1992–2008,1992,2008,17,0.011060271983129267,0.00616396466678532,0.07275875057789172,729073,1926,2121
1992–2009,1992,2009,18,0.011618794117229244,0.005956626045780745,0.05110904386019066,772308,2042,2246
1992–2010,1992,2010,19,0.01279155015835161,0.005910066600352268,0.03043654046136246,817358,2161,2368
1992–2011,1992,2011,20,0.013053643199290121,0.00592903817466878,0.02769060412779023,862386,2281,2491
1992–2012,1992,2012,21,0.012701446317856508,0.005896113988303415,0.031224269716293662,907148,2401,2608
1992–2013,1992,2013,22,0.012785021407883072,0.0058793294538940655,0.029662512451373857,951915,2522,2723
1993–2000,1993,2000,8,-0.005550285166486915,0.006249505339437156,0.3744791272451087,341299,881,1072
1993–2001,1993,2001,9,-0.0027887671211380047,0.006537447113254061,0.6696829843778995,384739,999,1186
1993–2002,1993,2002,10,-0.0018774449971497274,0.006805862729632279,0.7826580382691095,427268,1109,1294
1993–2003,1993,2003,11,-0.0018660865557188148,0.0065527360953388895,0.7758130258131353,470649,1227,1405
1993–2004,1993,2004,12,0.0006930316356527229,0.00649542255651141,0.9150306867504978,514824,1344,1523
1993–2005,1993,2005,13,0.006241815260678909,0.006272610495490259,0.31969271137930466,558792,1459,1645
1993–2006,1993,2006,14,0.010191492403401857,0.006199312590411468,0.10018268477578407,602379,1576,1765
1993–2007,1993,2007,15,0.01289352692310089,0.006065717657602147,0.03353372636531993,646604,1694,1882
1993–2008,1993,2008,16,0.014217927644190168,0.00593961239557624,0.01667754683584599,690618,1816,1997
1993–2009,1993,2009,17,0.014769744722798461,0.005726537282597191,0.009903852293984938,733853,1932,2122
1993–2010,1993,2010,18,0.015920697591534798,0.0056784681081943405,0.005052187091044047,778903,2051,2244
1993–2011,1993,2011,19,0.015986053186941507,0.005719831015042479,0.005192554409684247,823931,2171,2367
1993–2012,1993,2012,20,0.015559844170731595,0.005723331732182508,0.006554655815304455,868693,2291,2484
1993–2013,1993,2013,21,0.015539485630976827,0.005732366586475005,0.00671158493463242,913460,2412,2599
1994–2001,1994,2001,8,-0.00031147646288567335,0.006680001750587257,0.9628095869402458,343146,890,1059
1994–2002,1994,2002,9,0.0011227621762562008,0.006873352131684897,0.8702429537366809,385675,1000,1167
1994–2003,1994,2003,10,0.0013884963214788192,0.006467366352728703,0.8300070319859216,429056,1118,1278
1994–2004,1994,2004,11,0.00419643709863653,0.00636392613111112,0.5096328222137418,473231,1235,1396
1994–2005,1994,2005,12,0.009964273423328255,0.00612323531268873,0.10367640676900836,517199,1350,1518
1994–2006,1994,2006,13,0.014018536209653643,0.006064612988389454,0.020803980777981845,560786,1467,1638
1994–2007,1994,2007,14,0.016465980976002003,0.005912680079195208,0.0053552796995768315,605011,1585,1755
1994–2008,1994,2008,15,0.017438413107683827,0.0057843897796051496,0.0025721304448258486,649025,1707,1870
1994–2009,1994,2009,16,0.01784200550409637,0.005573667441667926,0.001368988464236054,692260,1823,1995
1994–2010,1994,2010,17,0.018944877333030973,0.0055344552466478,0.0006191969608633219,737310,1942,2117
1994–2011,1994,2011,18,0.01880280227449105,0.005607385103407366,0.0007988090705237649,782338,2062,2240
1994–2012,1994,2012,19,0.018176137480100878,0.0056383451604434575,0.0012656646972040164,827100,2182,2357
1994–2013,1994,2013,20,0.017954910097339537,0.005661873727804824,0.0015181836875821642,871867,2303,2472
1995–2002,1995,2002,8,0.00296747681395232,0.006659050820858903,0.6558644280468986,343796,893,1053
1995–2003,1995,2003,9,0.0032024522124591425,0.006137704103209554,0.6018328233122907,387177,1011,1164
1995–2004,1995,2004,10,0.006373684218679699,0.005976232802926196,0.2861959359019859,431352,1128,1282
1995–2005,1995,2005,11,0.01232907503423312,0.005723195979902477,0.031222771340219557,475320,1243,1404
1995–2006,1995,2006,12,0.016367984674204326,0.005714579559236282,0.004180164164608646,518907,1360,1524
1995–2007,1995,2007,13,0.018432429147080147,0.005561336956035938,0.0009185026921501027,563132,1478,1641
1995–2008,1995,2008,14,0.019156700449396675,0.005452810611810334,0.0004428138543439708,607146,1600,1756
1995–2009,1995,2009,15,0.01933803979214545,0.00524305001638675,0.0002257606053648331,650381,1716,1881
1995–2010,1995,2010,16,0.020235447811982183,0.005225563029867726,0.00010778140976008821,695431,1835,2003
1995–2011,1995,2011,17,0.019918029231959893,0.005341755553537708,0.00019245328558348263,740459,1955,2126
1995–2012,1995,2012,18,0.019080922471912624,0.005413807238878016,0.0004243207686338568,785221,2075,2243
1995–2013,1995,2013,19,0.01874077158758435,0.005462102248012189,0.0006012705200466595,829988,2196,2358
1996–2003,1996,2003,8,0.004194422791603042,0.006127872089020618,0.4936709060808657,344796,904,1044
1996–2004,1996,2004,9,0.0075716560302020374,0.005904652777647129,0.19973118585699523,388971,1021,1162
1996–2005,1996,2005,10,0.013672871469650402,0.005700753996915157,0.016465900982030046,432939,1136,1284
1996–2006,1996,2006,11,0.017576728238310885,0.005743187706879549,0.002210196858315694,476526,1253,1404
1996–2007,1996,2007,12,0.019347529755837724,0.005578255390843731,0.0005236458434116908,520751,1371,1521
1996–2008,1996,2008,13,0.019734964956109723,0.005480878055669842,0.00031739861937163383,564765,1493,1636
1996–2009,1996,2009,14,0.019746302126046358,0.005257080746815166,0.00017257550874161254,608000,1609,1761
1996–2010,1996,2010,15,0.020531243656845867,0.005255944180736739,9.373411661250941e-05,653050,1728,1883
1996–2011,1996,2011,16,0.020005688418855787,0.005394155020945327,0.0002082846281992179,698078,1848,2006
1996–2012,1996,2012,17,0.018898499721618986,0.005491636733167265,0.0005789096737651711,742840,1968,2123
1996–2013,1996,2013,18,0.018465507939180184,0.005551897863421224,0.0008811217200761501,787607,2089,2238
1997–2004,1997,2004,8,0.009081919773450872,0.005794195162980199,0.11701832061373318,346203,915,1039
1997–2005,1997,2005,9,0.014917116175684343,0.005677893299420585,0.008608764869650898,390171,1030,1161
1997–2006,1997,2006,10,0.018555258602520042,0.00586436236225096,0.0015559093220756104,433758,1147,1281
1997–2007,1997,2007,11,0.01995024069818225,0.0057002785837896135,0.00046553016950268145,477983,1265,1398
1997–2008,1997,2008,12,0.019803023013482444,0.005609573589206853,0.0004152552849947533,521997,1387,1513
1997–2009,1997,2009,13,0.019594581065319857,0.005350939131676341,0.00025038075595817944,565232,1503,1638
1997–2010,1997,2010,14,0.020228052533662482,0.005355911877894671,0.00015889108048128264,610282,1622,1760
1997–2011,1997,2011,15,0.019471453786486063,0.0055033920529902434,0.0004030746201852953,655310,1742,1883
1997–2012,1997,2012,16,0.01804101735218723,0.005603322741126352,0.0012833118287556289,700072,1862,2000
1997–2013,1997,2013,17,0.017538704715714695,0.005651174037738544,0.0019122119476286947,744839,1983,2115
1998–2005,1998,2005,8,0.011326971542335007,0.0055195836982001555,0.0401566943787981,347411,921,1040
1998–2006,1998,2006,9,0.01533571078393067,0.0058615175738272315,0.008888243601448131,390998,1038,1160
1998–2007,1998,2007,10,0.016865220672769052,0.0056906899706500045,0.0030403106967520355,435223,1156,1277
1998–2008,1998,2008,11,0.01665039365688154,0.0055894325450703405,0.002892957005832919,479237,1278,1392
1998–2009,1998,2009,12,0.016577443401952614,0.005308653592928279,0.0017919837998288113,522472,1394,1517
1998–2010,1998,2010,13,0.01748158377152808,0.005329758606640953,0.001038156192787687,567522,1513,1639
1998–2011,1998,2011,14,0.01681068238793214,0.0054862328143659555,0.002182941444659914,612550,1633,1762
1998–2012,1998,2012,15,0.015492218230088074,0.005597716366930869,0.005647309488730601,657312,1753,1879
1998–2013,1998,2013,16,0.015116397642590798,0.00565038915737598,0.007466775737849707,702079,1874,1994
1999–2006,1999,2006,8,0.01171788287456473,0.006458834708747344,0.06964162401264917,347881,925,1041
1999–2007,1999,2007,9,0.013912739814966981,0.00610794997499414,0.02273860498779401,392106,1043,1158
1999–2008,1999,2008,10,0.013641925148314442,0.0058936194442170105,0.020630207423358415,436120,1165,1273
1999–2009,1999,2009,11,0.013848033763021739,0.005572598788810862,0.012954698499362038,479355,1281,1398
1999–2010,1999,2010,12,0.014996518828640254,0.005565288261534929,0.007046451475005044,524405,1400,1520
1999–2011,1999,2011,13,0.013992627660211747,0.0057105714533858916,0.01427395027259859,569433,1520,1643
1999–2012,1999,2012,14,0.012646316030485305,0.005795826826292575,0.029112211566705737,614195,1640,1760
1999–2013,1999,2013,15,0.012288475169501885,0.0058060063042795675,0.034301790288486345,658962,1761,1875
2000–2007,2000,2007,8,0.014920834982750522,0.0063600792771178775,0.01897603935640757,348804,929,1042
2000–2008,2000,2008,9,0.013834390592099368,0.006066176887812222,0.022574027067265856,392818,1051,1157
2000–2009,2000,2009,10,0.013888744672671132,0.00566962166045506,0.01429885999642333,436053,1167,1282
