Category,Window,Start,End,window_years,coef,se,pval,nobs,treated,clusters
Top positive,1995–2010,1995,2010,16,0.020235447811982183,0.005225563029867726,0.00010778140976008821,695431,1835,2003
Top positive,1996–2010,1996,2010,15,0.020531243656845867,0.005255944180736739,9.373411661250941e-05,653050,1728,1883
Top positive,1996–2011,1996,2011,16,0.020005688418855787,0.005394155020945327,0.0002082846281992179,698078,1848,2006
Top positive,1997–2007,1997,2007,11,0.01995024069818225,0.0057002785837896135,0.00046553016950268145,477983,1265,1398
Top positive,1997–2010,1997,2010,14,0.020228052533662482,0.005355911877894671,0.00015889108048128264,610282,1622,1760
Weakest / near zero,1992–2004,1992,2004,13,-0.0011454441442587666,0.0065663504070780955,0.8615185564397536,553279,1454,1647
Weakest / near zero,1993–2004,1993,2004,12,0.0006930316356527229,0.00649542255651141,0.9150306867504978,514824,1344,1523
Weakest / near zero,1994–2001,1994,2001,8,-0.00031147646288567335,0.006680001750587257,0.9628095869402458,343146,890,1059
Weakest / near zero,1994–2002,1994,2002,9,0.0011227621762562008,0.006873352131684897,0.8702429537366809,385675,1000,1167
Weakest / near zero,2006–2013,2006,2013,8,0.0006259422500908258,0.005718408255110653,0.9128369854087657,354668,953,1066
Key windows,1992–2013,1992,2013,22,0.012785021407883072,0.0058793294538940655,0.029662512451373857,951915,2522,2723
Key windows,1995–2013,1995,2013,19,0.01874077158758435,0.005462102248012189,0.0006012705200466595,829988,2196,2358
Key windows,2000–2013,2000,2013,14,0.011022864973804095,0.005768040880619788,0.05600199197831657,615660,1647,1759
Key windows,2005–2013,2005,2013,9,0.0017228827818634293,0.005849130934794641,0.7683350593703147,398636,1068,1186
