Window,Start,End,window_years,coef,se,pval,nobs,treated,clusters
2005–2012,2005,2012,8,0.0023974834539824555,0.006385065245671105,0.7073015474482349,353869,947,1071
2005–2013,2005,2013,9,0.0017228827818634293,0.005849130934794641,0.7683350593703147,398636,1068,1186
2005–2014,2005,2014,10,-0.0007079027233610853,0.006742282841777708,0.916380213682229,443620,1189,1309
2005–2015,2005,2015,11,-0.0037916389412195554,0.007699251014577695,0.6223883996801325,488558,1310,1423
2005–2016,2005,2016,12,-0.004892785070587324,0.008391874347513829,0.5598677158249217,533410,1429,1519
2005–2017,2005,2017,13,-0.006118073763739457,0.008605965730595572,0.4771398420910229,579354,1533,1638
2005–2018,2005,2018,14,-0.0042769378485497484,0.008699908729046673,0.6229972338878147,625379,1625,1771
2005–2019,2005,2019,15,0.0003647080144051324,0.008655065007788619,0.966388619471999,671399,1701,1923
2006–2013,2006,2013,8,0.0006259422500908258,0.005718408255110653,0.9128369854087657,354668,953,1066
2006–2014,2006,2014,9,-0.0028360584954989694,0.007079855127010211,0.6887285634444817,399652,1074,1189
2006–2015,2006,2015,10,-0.006782622540955411,0.008131259509714977,0.40420164929679236,444590,1195,1303
2006–2016,2006,2016,11,-0.008230357361071446,0.008816217958912543,0.35053792095267466,489442,1314,1399
2006–2017,2006,2017,12,-0.009539309467135722,0.00892873406538117,0.28534822359335066,535386,1418,1518
2006–2018,2006,2018,13,-0.00748845470620809,0.00891893052882967,0.40112549094407246,581411,1510,1651
2006–2019,2006,2019,14,-0.00242302080033429,0.008762582912092684,0.7821495555685858,627431,1586,1803
2007–2014,2007,2014,8,-0.0021710940933621064,0.007530087509699799,0.773100035478433,356065,957,1071
2007–2015,2007,2015,9,-0.0069729344214698495,0.008507964098739294,0.41245766167578224,401003,1078,1185
2007–2016,2007,2016,10,-0.008659939635956928,0.009094595023137716,0.3409924474277308,445855,1197,1281
2007–2017,2007,2017,11,-0.009864568931333114,0.009050836458928294,0.27575475944364003,491799,1301,1400
2007–2018,2007,2018,12,-0.007609597359026403,0.008927523156225216,0.3940064215090304,537824,1393,1533
2007–2019,2007,2019,13,-0.002052072270926456,0.008704859448332467,0.8136355264127195,583844,1469,1685
2008–2015,2008,2015,8,-0.007221764526333133,0.009029976810593107,0.4238536703817659,356778,960,1071
2008–2016,2008,2016,9,-0.008836893175321785,0.00952118502683024,0.3533410082376518,401630,1079,1167
2008–2017,2008,2017,10,-0.009560796140169183,0.00934551448180313,0.3062915280801759,447574,1183,1286
2008–2018,2008,2018,11,-0.006748550600068571,0.009136897553597983,0.4601477841265167,493599,1275,1419
2008–2019,2008,2019,12,-0.00032602504653428686,0.008890159268179541,0.9707460896019777,539619,1351,1571
2009–2016,2009,2016,8,-0.009706656533700658,0.010300330639150732,0.3460072600394448,357616,957,1042
2009–2017,2009,2017,9,-0.010120130365020175,0.009944198702934379,0.3088250977496856,403560,1061,1161
2009–2018,2009,2018,10,-0.006825074023121005,0.009624139396159534,0.4782243597962701,449585,1153,1294
2009–2019,2009,2019,11,0.0005232542299423742,0.009326501932831048,0.9552589684239792,495605,1229,1446
2010–2017,2010,2017,8,-0.01002950941484932,0.011317927709089745,0.3755313043662949,360325,945,1038
2010–2018,2010,2018,9,-0.005367000628161925,0.010788085384214321,0.6188415047105671,406350,1037,1171
2010–2019,2010,2019,10,0.0037751249235002055,0.010313662639481972,0.7143417977311883,452370,1113,1323
2011–2018,2011,2018,8,-0.005259135140467603,0.011149017576632633,0.6371320750814142,361300,918,1050
2011–2019,2011,2019,9,0.005129066212853723,0.01045286549242375,0.6236494287707979,407320,994,1202
2012–2019,2012,2019,8,0.013556514721687233,0.010421991154039453,0.1933413930677168,362292,874,1084
