Category,Window,Start,End,window_years,coef,se,pval,nobs,treated,clusters
Top positive,2005–2012,2005,2012,8,0.0023974834539824555,0.006385065245671105,0.7073015474482349,353869,947,1071
Top positive,2005–2013,2005,2013,9,0.0017228827818634293,0.005849130934794641,0.7683350593703147,398636,1068,1186
Top positive,2010–2019,2010,2019,10,0.0037751249235002055,0.010313662639481972,0.7143417977311883,452370,1113,1323
Top positive,2011–2019,2011,2019,9,0.005129066212853723,0.01045286549242375,0.6236494287707979,407320,994,1202
Top positive,2012–2019,2012,2019,8,0.013556514721687233,0.010421991154039453,0.1933413930677168,362292,874,1084
Weakest / near zero,2005–2014,2005,2014,10,-0.0007079027233610853,0.006742282841777708,0.916380213682229,443620,1189,1309
Weakest / near zero,2005–2019,2005,2019,15,0.0003647080144051324,0.008655065007788619,0.966388619471999,671399,1701,1923
Weakest / near zero,2006–2013,2006,2013,8,0.0006259422500908258,0.005718408255110653,0.9128369854087657,354668,953,1066
Weakest / near zero,2008–2019,2008,2019,12,-0.00032602504653428686,0.008890159268179541,0.9707460896019777,539619,1351,1571
Weakest / near zero,2009–2019,2009,2019,11,0.0005232542299423742,0.009326501932831048,0.9552589684239792,495605,1229,1446
Key windows,2005–2016,2005,2016,12,-0.004892785070587324,0.008391874347513829,0.5598677158249217,533410,1429,1519
Key windows,2005–2019,2005,2019,15,0.0003647080144051324,0.008655065007788619,0.966388619471999,671399,1701,1923
Key windows,2008–2019,2008,2019,12,-0.00032602504653428686,0.008890159268179541,0.9707460896019777,539619,1351,1571
Key windows,2010–2019,2010,2019,10,0.0037751249235002055,0.010313662639481972,0.7143417977311883,452370,1113,1323
