Window,Start,End,window_years,coef,se,pval,nobs,treated,clusters,countries
1992-1999,1992,1999,8,0.013480979798700637,0.01562038915516098,0.38811691286392047,20871,205,141,48
1992-2000,1992,2000,9,0.023016580018761962,0.015639045770589097,0.14109160599581894,23711,233,152,48
1992-2001,1992,2001,10,0.030585755883061314,0.017580535881630784,0.08190273985652491,26621,265,162,48
1992-2002,1992,2002,11,0.030565001089750472,0.01786770596058593,0.08714977593084403,29510,294,174,48
1992-2003,1992,2003,12,0.03376211328326123,0.017310251353501463,0.05112709244289896,32212,323,184,48
1992-2004,1992,2004,13,0.040568038178042984,0.017311766749586673,0.019109937473776158,35187,352,195,48
1992-2005,1992,2005,14,0.04516793987960236,0.01664484646966429,0.0066550629760777835,38101,381,211,48
1992-2006,1992,2006,15,0.05440390033251076,0.016593721926867425,0.0010432955102267377,41025,410,222,48
1992-2007,1992,2007,16,0.05854581206327804,0.016488705156544346,0.000384264163991357,43996,441,234,48
1992-2008,1992,2008,17,0.05970898261855263,0.01633568226266333,0.0002570553510411841,47035,472,246,48
1992-2009,1992,2009,18,0.05964606790448908,0.01587870473068695,0.0001724053933488208,49958,500,264,48
1992-2010,1992,2010,19,0.057960791508528335,0.015392568011173505,0.00016621281011258167,53315,532,279,48
1992-2011,1992,2011,20,0.050655679528948436,0.016025570373638574,0.0015726718495674796,56713,564,293,48
1992-2012,1992,2012,21,0.045473684330276154,0.01643884765263862,0.005670798560853233,60039,597,310,48
1992-2013,1992,2013,22,0.044242983665609026,0.016755881980853208,0.008279724705704778,63378,631,322,48
1992-2014,1992,2014,23,0.04362832155478439,0.016050409133718743,0.006563691979385959,67263,665,337,48
1992-2015,1992,2015,24,0.04494685341983211,0.01575790664225921,0.0043399122070151485,71198,698,353,48
1992-2016,1992,2016,25,0.044445003879182265,0.015810530642624616,0.004937223258473383,75116,731,363,48
1992-2017,1992,2017,26,0.042640656079509044,0.016155589132268902,0.008305907762633267,79159,763,374,48
1992-2018,1992,2018,27,0.04283429059849396,0.01685686442785354,0.011051720198608825,83189,793,390,48
1992-2019,1992,2019,28,0.04477229071117015,0.01747829802143564,0.010419325790423565,87188,818,411,48
1993-2000,1993,2000,8,0.03602196475350335,0.014613357419264231,0.013701223848940944,21509,209,135,48
1993-2001,1993,2001,9,0.04092759785507363,0.01668966159165498,0.01419571200790441,24419,241,145,48
1993-2002,1993,2002,10,0.03953895138040395,0.017108037713747904,0.020825506959968848,27308,270,157,48
1993-2003,1993,2003,11,0.04291792063378591,0.016304353272762355,0.008480937541176277,30010,299,167,48
1993-2004,1993,2004,12,0.048422846014500795,0.016431619959387148,0.003209450765123812,32985,328,178,48
1993-2005,1993,2005,13,0.05207498831671235,0.015909850418757143,0.0010636402751656978,35899,357,194,48
1993-2006,1993,2006,14,0.061811470109895406,0.016107033049818337,0.00012427027953977024,38823,386,205,48
1993-2007,1993,2007,15,0.06527434465479041,0.01603933372498694,4.7085453429674945e-05,41794,417,217,48
1993-2008,1993,2008,16,0.0654653305976663,0.01592251354531045,3.9310584203698426e-05,44833,448,229,48
1993-2009,1993,2009,17,0.06446143114787695,0.015567917327975418,3.463100285691016e-05,47756,476,247,48
1993-2010,1993,2010,18,0.06217862125069247,0.014975225571797585,3.2943947603373895e-05,51113,508,262,48
1993-2011,1993,2011,19,0.053924434594216766,0.015731682464491317,0.0006085828390051682,54511,540,276,48
1993-2012,1993,2012,20,0.048384067173098996,0.016302806368977088,0.002999036090257641,57837,573,293,48
1993-2013,1993,2013,21,0.04697913976223193,0.016755058054206805,0.005049199654912127,61176,607,305,48
1993-2014,1993,2014,22,0.04645171488439312,0.016051505083228588,0.0038046936421525686,65061,641,320,48
1993-2015,1993,2015,23,0.04778635067107467,0.01583959159079091,0.0025538006281184905,68996,674,336,48
1993-2016,1993,2016,24,0.0471169424745888,0.015986710331912464,0.003206067187235754,72914,707,346,48
1993-2017,1993,2017,25,0.04502196478814405,0.016417858009598888,0.006101881997802271,76957,739,357,48
1993-2018,1993,2018,26,0.045056384566726754,0.017184637515879547,0.008744133068664615,80987,769,373,48
1993-2019,1993,2019,27,0.04707573938354617,0.017825112078246698,0.008266694295724932,84986,794,394,48
1994-2001,1994,2001,8,0.0536128112041096,0.017411089472976024,0.002075339044924616,21856,215,130,48
1994-2002,1994,2002,9,0.051315227291982374,0.017672017082846117,0.003687152825638893,24745,244,142,48
1994-2003,1994,2003,10,0.053771456122870244,0.016598175807889807,0.0011969733987838662,27447,273,152,48
1994-2004,1994,2004,11,0.05955416104744424,0.016470936720283644,0.00029952340835736436,30422,302,163,48
1994-2005,1994,2005,12,0.06252823686765113,0.015741027949805513,7.117911646899069e-05,33336,331,179,48
1994-2006,1994,2006,13,0.07290722222304283,0.015860055404344296,4.288059799478807e-06,36260,360,190,48
1994-2007,1994,2007,14,0.07544692273668963,0.015776011704816052,1.732296242325047e-06,39231,391,202,48
1994-2008,1994,2008,15,0.07389694615902853,0.015733922593965787,2.6444505996602405e-06,42270,422,214,48
1994-2009,1994,2009,16,0.07169754060175393,0.015524239281917523,3.866629884391447e-06,45193,450,232,48
1994-2010,1994,2010,17,0.06876027914187423,0.014918148382046074,4.042800395024883e-06,48550,482,247,48
1994-2011,1994,2011,18,0.05931506065619667,0.015858954768102854,0.0001839016593818279,51948,514,261,48
1994-2012,1994,2012,19,0.052642555739454436,0.016544629233479366,0.001463367565529783,55274,547,278,48
1994-2013,1994,2013,20,0.05059721307850014,0.017027982982200745,0.0029643040583385055,58613,581,290,48
1994-2014,1994,2014,21,0.049446114661420446,0.016230562084064506,0.0023153636923250115,62498,615,305,48
1994-2015,1994,2015,22,0.05038855537634729,0.01602903372417369,0.0016689459230749288,66433,648,321,48
1994-2016,1994,2016,23,0.04950637964042015,0.01620500389503333,0.002250562275687845,70351,681,331,48
1994-2017,1994,2017,24,0.04713203276378872,0.016694590098736143,0.004754809125889267,74394,713,342,48
1994-2018,1994,2018,25,0.04701448366951098,0.01752301835701493,0.007296218374273613,78424,743,358,48
1994-2019,1994,2019,26,0.049135497393296715,0.01818317549227271,0.006887182582267152,82423,768,379,48
1995-2002,1995,2002,8,0.0563925226931266,0.01743777298258673,0.0012209973326555493,22225,220,131,48
1995-2003,1995,2003,9,0.057846602655887175,0.01633709732319702,0.0003988965504610402,24927,249,141,48
1995-2004,1995,2004,10,0.0638047057294934,0.015855338235389243,5.717462528694738e-05,27902,278,152,48
1995-2005,1995,2005,11,0.06661870695372302,0.014937064559022769,8.197504040853051e-06,30816,307,168,48
1995-2006,1995,2006,12,0.07774566840157121,0.015131025893942194,2.7743806564361994e-07,33740,336,179,48
1995-2007,1995,2007,13,0.07965039848712083,0.015043129034912527,1.1914505368283382e-07,36711,367,191,48
1995-2008,1995,2008,14,0.07700257539379037,0.015001446026544994,2.8514445486025437e-07,39750,398,203,48
1995-2009,1995,2009,15,0.0740665211384059,0.014892995419681919,6.584122364870076e-07,42673,426,221,48
1995-2010,1995,2010,16,0.07037331262573092,0.014317822461979952,8.874400439769127e-07,46030,458,236,48
1995-2011,1995,2011,17,0.05994016377734253,0.015466318880824474,0.00010639340790527033,49428,490,250,48
1995-2012,1995,2012,18,0.05241168537232879,0.016339970000285853,0.0013385897875211857,52754,523,267,48
1995-2013,1995,2013,19,0.05019163171589643,0.016899939538720495,0.0029786794264341303,56093,557,279,48
1995-2014,1995,2014,20,0.048915515707267036,0.015992216075525135,0.0022229386798429916,59978,591,294,48
1995-2015,1995,2015,21,0.0499536689042208,0.015810056301458594,0.001579785004784062,63913,624,310,48
1995-2016,1995,2016,22,0.04913548742042885,0.016040531831782112,0.0021897770543392887,67831,657,320,48
1995-2017,1995,2017,23,0.04679582478242146,0.016613455381778865,0.00485134134656429,71874,689,331,48
1995-2018,1995,2018,24,0.046724991997032804,0.01752083145790039,0.007657152330215937,75904,719,347,48
1995-2019,1995,2019,25,0.049039344315240596,0.018209269656431715,0.007079149692575846,79903,744,368,48
1996-2003,1996,2003,8,0.057461009489498144,0.017512654279282794,0.0010339806181317592,22304,223,128,48
1996-2004,1996,2004,9,0.06374305737054779,0.016399361387577877,0.00010152287881545635,25279,252,139,48
1996-2005,1996,2005,10,0.06705250004509476,0.014957248634774017,7.36204381383357e-06,28193,281,155,48
1996-2006,1996,2006,11,0.0797456627114295,0.015156197087282884,1.428166086382111e-07,31117,310,166,48
1996-2007,1996,2007,12,0.08101906307444229,0.01493867257616271,5.8461340844897484e-08,34088,341,178,48
1996-2008,1996,2008,13,0.07758832251041045,0.014783599606826563,1.5353415583241298e-07,37127,372,190,48
1996-2009,1996,2009,14,0.07376534916778618,0.014693906068259136,5.163596377244802e-07,40050,400,208,48
1996-2010,1996,2010,15,0.06959771284086103,0.014155051563425303,8.796541543862707e-07,43407,432,223,48
1996-2011,1996,2011,16,0.057619396748448,0.015531424019177661,0.00020737452047283413,46805,464,237,48
1996-2012,1996,2012,17,0.0488098127752189,0.016628225296877994,0.0033316185827526714,50131,497,254,48
1996-2013,1996,2013,18,0.04626776054648743,0.01730051360509012,0.0074872559651721635,53470,531,266,48
1996-2014,1996,2014,19,0.045017304658253925,0.016328186211945872,0.0058328940482868345,57355,565,281,48
1996-2015,1996,2015,20,0.04658863200107867,0.01621986974268624,0.004074720606685282,61290,598,297,48
1996-2016,1996,2016,21,0.0462002130288532,0.016562956868192192,0.005281071273965045,65208,631,307,48
1996-2017,1996,2017,22,0.04406450753701434,0.017234531576455672,0.01056530242874769,69251,663,318,48
1996-2018,1996,2018,23,0.044224629252542016,0.018220401910913515,0.01521570467087569,73281,693,334,48
1996-2019,1996,2019,24,0.046992799293732124,0.018945093974220985,0.013120809920350003,77280,718,355,48
1997-2004,1997,2004,8,0.06492852561896185,0.017851064781378927,0.0002755800029155721,22571,229,126,48
1997-2005,1997,2005,9,0.06757187886333071,0.015370788372428989,1.1020141798716386e-05,25485,258,142,48
1997-2006,1997,2006,10,0.08142743599985779,0.01586599906167166,2.863792141880314e-07,28409,287,153,48
1997-2007,1997,2007,11,0.08136245365155656,0.015372065711580207,1.2040688279530226e-07,31380,318,165,48
1997-2008,1997,2008,12,0.07631062538092027,0.014998629229440542,3.6216475704921934e-07,34419,349,177,48
1997-2009,1997,2009,13,0.07156189824688983,0.01488870961387916,1.5363079174557048e-06,37342,377,195,48
1997-2010,1997,2010,14,0.06668924720172131,0.014401400110918542,3.6434801682337743e-06,40699,409,210,48
1997-2011,1997,2011,15,0.05302980333009169,0.01590882685070321,0.0008580468953787099,44097,441,224,48
1997-2012,1997,2012,16,0.04290141743989339,0.017096638293118242,0.012095421187908992,47423,474,241,48
1997-2013,1997,2013,17,0.0404881792096948,0.017758000751733772,0.022607897233180244,50762,508,253,48
1997-2014,1997,2014,18,0.039589383298420204,0.01665350080869772,0.01744269224978618,54647,542,268,48
1997-2015,1997,2015,19,0.04198278468781813,0.016582052498634488,0.011347198054876722,58582,575,284,48
1997-2016,1997,2016,20,0.04222433419657946,0.017012710425811383,0.013067342086199418,62500,608,294,48
1997-2017,1997,2017,21,0.040391546941301384,0.017781273747979214,0.023112022191415515,66543,640,305,48
1997-2018,1997,2018,22,0.040930270077073325,0.018849447757074204,0.029898628188943035,70573,670,321,48
1997-2019,1997,2019,23,0.044134132764413525,0.01958817948749791,0.024252826583451535,74572,695,342,48
1998-2005,1998,2005,8,0.04177129937223344,0.012907510433714768,0.0012113201606675458,22808,231,131,48
1998-2006,1998,2006,9,0.060959955210149123,0.015246776316057324,6.382080997418573e-05,25732,260,142,48
1998-2007,1998,2007,10,0.06236350957495965,0.01484175600700594,2.6468917945475513e-05,28703,291,154,48
1998-2008,1998,2008,11,0.058442832799224215,0.014287929884348492,4.306968655332872e-05,31742,322,166,48
1998-2009,1998,2009,12,0.0549454080840613,0.014364110149906956,0.0001306728354348975,34665,350,184,48
1998-2010,1998,2010,13,0.05163921365499684,0.014017254128735997,0.0002296247802753132,38022,382,199,48
1998-2011,1998,2011,14,0.03893163423780795,0.015457823556602947,0.011783194904688486,41420,414,213,48
1998-2012,1998,2012,15,0.030242896417975226,0.01668942426939485,0.06997083248400199,44746,447,230,48
1998-2013,1998,2013,16,0.029799575618840727,0.01746676215896595,0.08799444301247139,48085,481,242,48
1998-2014,1998,2014,17,0.03044486822789135,0.016218970076550914,0.06050236596698127,51970,515,257,48
1998-2015,1998,2015,18,0.03430923343795617,0.016212244337002805,0.034323176611934215,55905,548,273,48
1998-2016,1998,2016,19,0.03570076806554062,0.016803411582197034,0.03361881199646596,59823,581,283,48
1998-2017,1998,2017,20,0.034665144411187836,0.017689445788164535,0.050036567710765256,63866,613,294,48
1998-2018,1998,2018,21,0.035986333456765655,0.018859560507254427,0.056375510561217104,67896,643,310,48
1998-2019,1998,2019,22,0.040024863807326505,0.019639343504941106,0.041550535055656056,71895,668,331,48
