sample,window,spec,coef,se,pval,nobs,treated,clusters,countries
Africa,2012-2024,lag0,0.019293246960123234,0.028983316210280285,0.5056237545481086,74352,348,252,45
Africa,2012-2016,bin_effect,0.02167586336861557,0.03445973601945843,0.5293359586017827,74352,348,252,45
Africa,2017-2021,bin_effect,0.015696680139185147,0.03258960838991464,0.6300568842343457,74352,348,252,45
Africa,2022-2024,bin_effect,0.012359599147770475,0.060148600516516465,0.8371936842751668,74352,348,252,45
Sub-Saharan Africa,2012-2024,lag0,0.026984733869109743,0.030585607232635606,0.3776313427889748,47394,316,317,48
Sub-Saharan Africa,2012-2016,bin_effect,0.0392322377705102,0.035395947414987,0.2676967925430911,47394,316,317,48
Sub-Saharan Africa,2017-2021,bin_effect,0.008872914785629807,0.032346726031879304,0.78384914720585,47394,316,317,48
Sub-Saharan Africa,2022-2024,bin_effect,-0.013238767500575288,0.05052870582670611,0.7933176799793111,47394,316,317,48
Non-SSA,2012-2024,lag0,-0.04728022853034186,0.010506664030507122,6.794614869333935e-06,549414,750,1751,189
Non-SSA,2012-2016,bin_effect,-0.06328663986733177,0.0126552968814096,5.709218373040842e-07,549414,750,1751,189
Non-SSA,2017-2021,bin_effect,-0.005638772898452292,0.014789111495562376,0.7029964724383264,549414,750,1751,189
Non-SSA,2022-2024,bin_effect,0.016428281811031814,0.03378053880961755,0.6267375694148725,549414,750,1751,189
