Start,End,window_years,coef,se,pval,nobs,treated,clusters,regions,countries
2012,2014,3,-0.012249127210096517,0.013985877068595323,0.38112961613727725,135962,478,433,45986,234
2012,2015,4,-0.012557202244624753,0.011979344305250956,0.2945309199055379,181213,639,526,46149,235
2012,2016,5,-0.012216832054690633,0.01115072364913772,0.2732514395648251,226471,794,601,46259,235
2012,2017,6,-0.012325835972375127,0.010378822502370584,0.23499433123698488,272389,927,699,46506,235
2012,2018,7,-0.01174479702028027,0.00989105318783622,0.23506452821963353,318350,1039,817,46631,235
2012,2019,8,-0.011511788600522157,0.009556422500947532,0.2283537265325799,364392,1132,956,46721,236
2012,2020,9,-0.012623875144021298,0.009665102168344465,0.19150935011717363,410694,1210,1112,46851,236
2012,2021,10,-0.017356002512065084,0.009583358536608003,0.07013286190133461,457140,1273,1282,46962,236
2012,2022,11,-0.01996051619259609,0.009364850856828278,0.03305433832451943,503490,1327,1462,47020,236
2012,2023,12,-0.024515762228155717,0.00982168838100563,0.012557594658924476,550083,1374,1653,47122,237
2012,2024,13,-0.029094940434718677,0.009643983860625132,0.002553853028196107,596808,1374,1889,47197,237
2013,2015,3,-0.01148900808112316,0.013818005595191113,0.4057205705634803,135882,480,431,45928,235
2013,2016,4,-0.008439738087603692,0.01216394334161006,0.4877885183799153,181140,635,506,46079,235
2013,2017,5,-0.009742785608955699,0.010615592430480334,0.358734933476458,227058,768,604,46382,235
2013,2018,6,-0.009801906816168467,0.00980801053234137,0.3176128421118194,273019,880,722,46532,235
2013,2019,7,-0.009214509417894519,0.00927306871708054,0.3203771287646273,319061,973,861,46641,236
2013,2020,8,-0.010815793727572156,0.009497566050596802,0.25478895821333913,365363,1051,1017,46784,236
2013,2021,9,-0.017437819656551702,0.00950500982473334,0.0665669104081883,411809,1114,1187,46910,236
2013,2022,10,-0.02023250809826947,0.009341995471096144,0.030330205913335684,458159,1168,1367,46972,236
2013,2023,11,-0.025069070028359095,0.009979969510527884,0.012007343012818916,504752,1215,1558,47082,237
2013,2024,12,-0.029321668948935287,0.00979563381743378,0.0027595499873227514,551477,1215,1794,47163,237
2014,2016,3,0.006175408250295939,0.01027112740254879,0.5476819575302847,135837,475,402,45881,235
2014,2017,4,-0.006130655060162833,0.009987384009704099,0.5393221487349127,181755,608,500,46274,235
2014,2018,5,-0.010803857107359613,0.010039408125509592,0.2818639324033554,227716,720,618,46449,235
2014,2019,6,-0.010970811812833865,0.00945144540907314,0.24574280539374094,273758,813,757,46572,236
2014,2020,7,-0.013553623857165522,0.00996322670173542,0.1737156099242363,320060,891,913,46734,236
2014,2021,8,-0.023182059950613867,0.010105317346756118,0.02178852223071548,366506,954,1083,46878,236
2014,2022,9,-0.026170189286719596,0.009978568096545999,0.00872551132303001,412856,1008,1263,46943,236
2014,2023,10,-0.031531301039390426,0.01073247936168991,0.0033042722802834046,459449,1055,1454,47059,237
2014,2024,11,-0.03448255060468352,0.01040573204366062,0.0009204334097818734,506174,1055,1690,47146,237
2015,2017,3,-0.014234038911596568,0.0157089349023785,0.36487953365709,136427,449,407,46130,234
2015,2018,4,-0.01818907373635699,0.013169222900718794,0.167225756106405,182388,561,525,46335,234
2015,2019,5,-0.01713069287237805,0.010481329487626815,0.10217647015634435,228430,654,664,46487,235
2015,2020,6,-0.019313541174150635,0.010637841008575058,0.06944062138912055,274732,732,820,46679,235
2015,2021,7,-0.030788152853688217,0.010381769662456533,0.00302121470295158,321178,795,990,46837,235
2015,2022,8,-0.03285149307067016,0.010221997259095634,0.0013100219718751305,367528,849,1170,46908,236
2015,2023,9,-0.038195620845464504,0.011069804130446075,0.0005597506872918601,414121,896,1361,47034,237
2015,2024,10,-0.03898165637436568,0.010613912380386554,0.00024003684219331411,460846,896,1597,47127,237
2016,2018,3,-0.008738528025956278,0.012784273254702315,0.4942691251550537,137137,400,449,46255,233
2016,2019,4,-0.008019260806011013,0.009391014185835248,0.39314575037385624,183179,493,588,46422,235
2016,2020,5,-0.010178889980938993,0.010207852487306568,0.31868685984966283,229481,571,744,46638,235
2016,2021,6,-0.022970395843105278,0.009889395846239844,0.020194541277750888,275927,634,914,46803,235
2016,2022,7,-0.02526363446702799,0.009749472905674407,0.009562415131465052,322277,688,1094,46883,236
2016,2023,8,-0.03167518763764336,0.01087827511962953,0.0035939583669382102,368870,735,1285,47016,237
2016,2024,9,-0.03241089745405205,0.01035457756217941,0.0017475855820408004,415595,735,1521,47112,237
2017,2019,3,0.005807429289921952,0.00763278701013531,0.4467468180203429,137921,338,490,46389,235
2017,2020,4,0.0026186665870865755,0.01055911252458173,0.8041342898282899,184223,416,646,46617,235
2017,2021,5,-0.013909810076477359,0.009719676441514377,0.1524038241839305,230669,479,816,46787,235
2017,2022,6,-0.016684844550551862,0.009515745754723828,0.07953586495221754,277019,533,996,46868,236
2017,2023,7,-0.025396907305261042,0.011133884095981672,0.02254645684795742,323612,580,1187,47005,237
2017,2024,8,-0.02554490288091129,0.01036024903784085,0.013676437657972329,370337,580,1423,47102,237
2018,2020,3,0.0017313562627504426,0.01587015575345173,0.913127299995204,138305,283,527,46534,234
2018,2021,4,-0.01779221106250593,0.012790951054752225,0.16422772840115574,184751,346,697,46735,234
2018,2022,5,-0.01634147564306446,0.01175755493475413,0.16456997515420024,231101,400,877,46826,235
2018,2023,6,-0.025481654598499114,0.013670664013381656,0.06232773884165099,277694,447,1068,46979,237
2018,2024,7,-0.022480233734402163,0.011574967778110772,0.052120901472323844,324419,447,1304,47084,237
2019,2021,3,-0.012463469148440669,0.018639611051480022,0.5037172671303973,138790,234,560,46682,234
2019,2022,4,-0.007922462700699637,0.01514332676101227,0.6008600880485728,185140,288,740,46787,235
2019,2023,5,-0.01843799914488283,0.01701003370997468,0.2783890930523871,231733,335,931,46951,237
